最新更新,2020/3/8 16:00,
日付,小計,累計
2020-01-28T08:00:00.000Z,1,1
2020-01-29T08:00:00.000Z,0,1
2020-01-30T08:00:00.000Z,0,1
2020-01-31T08:00:00.000Z,0,1
2020-02-01T08:00:00.000Z,0,1
2020-02-02T08:00:00.000Z,0,1
2020-02-03T08:00:00.000Z,0,1
2020-02-04T08:00:00.000Z,0,1
2020-02-05T08:00:00.000Z,0,1
2020-02-06T08:00:00.000Z,0,1
2020-02-07T08:00:00.000Z,0,1
2020-02-08T08:00:00.000Z,0,1
2020-02-09T08:00:00.000Z,0,1
2020-02-10T08:00:00.000Z,0,1
2020-02-11T08:00:00.000Z,0,1
2020-02-12T08:00:00.000Z,0,1
2020-02-13T08:00:00.000Z,0,1
2020-02-14T08:00:00.000Z,1,2
2020-02-15T08:00:00.000Z,0,2
2020-02-16T08:00:00.000Z,0,2
2020-02-17T08:00:00.000Z,0,2
2020-02-18T08:00:00.000Z,1,3
2020-02-19T08:00:00.000Z,2,5
2020-02-20T08:00:00.000Z,0,5
2020-02-21T08:00:00.000Z,3,8
2020-02-22T08:00:00.000Z,10,18
2020-02-23T08:00:00.000Z,8,26
2020-02-24T08:00:00.000Z,4,30
2020-02-25T08:00:00.000Z,5,35
2020-02-26T08:00:00.000Z,4,39
2020-02-27T08:00:00.000Z,15,54
2020-02-28T08:00:00.000Z,12,66
2020-02-29T08:00:00.000Z,4,70
2020-03-01T08:00:00.000Z,2,72
2020-03-02T08:00:00.000Z,5,77
2020-03-03T08:00:00.000Z,2,79
2020-03-04T08:00:00.000Z,3,82
2020-03-05T08:00:00.000Z,1,83
2020-03-06T08:00:00.000Z,7,90
2020-03-07T08:00:00.000Z,8,98
2020-03-08T08:00:00.000Z,3,101
